Idx,Code,Instruction,Extension,OP0,OP1,OP2,OP3,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
116,DPPD_XMMdq_XMMdq_IMMb+R128+R128+I8,DPPD,SSE4,XMM,XMM,I8,,0,0,0,0,0,0,0,0,1,0,0,2,0,9,9,0
117,DPPS_XMMdq_MEMdq_IMMb+R128+M128+I8,DPPS,SSE4,XMM,M128,I8,,0,1,1,0,0,0,0,0,1,0,0,3,0,13,20,0
118,DPPS_XMMdq_XMMdq_IMMb+R128+R128+I8,DPPS,SSE4,XMM,XMM,I8,,0,0,0,0,0,0,0,0,1,0,0,3,0,13,13,0
119,EXTRACTPS_GPR32d_XMMdq_IMMb+R32+R128+I8,EXTRACTPS,SSE4,R32,XMM,I8,,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0
120,EXTRACTPS_MEMd_XMMps_IMMb+M32+R128+I8,EXTRACTPS,SSE4,M32,XMM,I8,,0,0,0,1,1,0,0,0,1,0,0,0,0,5,10,0
121,FXSAVE64_MEMmfpxenv+M4096,FXSAVE64,SSE,M4096,,,,0,18,37,3,38,12,1,0,12,11,2,1,0,46,46,0
122,FXSAVE_MEMmfpxenv+M4096,FXSAVE,SSE,M4096,,,,0,19,37,0,38,12,2,0,12,10,3,2,0,45,45,0
123,HADDPD_XMMpd_MEMpd+R128+M128,HADDPD,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13,0
124,HADDPD_XMMpd_XMMpd+R128+R128,HADDPD,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6,0
125,HADDPS_XMMps_MEMps+R128+M128,HADDPS,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13,0
126,HADDPS_XMMps_XMMps+R128+R128,HADDPS,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6,0
127,HSUBPD_XMMpd_MEMpd+R128+M128,HSUBPD,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13,0
128,HSUBPD_XMMpd_XMMpd+R128+R128,HSUBPD,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6,0
129,HSUBPS_XMMps_MEMps+R128+M128,HSUBPS,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13,0
130,HSUBPS_XMMps_XMMps+R128+R128,HSUBPS,SSE3,XMM,XMM,,,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6,0
131,INSERTPS_XMMps_MEMd_IMMb+R128+M32+I8,INSERTPS,SSE4,XMM,M32,I8,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8,0
132,INSERTPS_XMMps_XMMps_IMMb+R128+R128+I8,INSERTPS,SSE4,XMM,XMM,I8,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
133,LDDQU_XMMpd_MEMdq+R128+M128,LDDQU,SSE3,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,0
134,MASKMOVDQU_XMMdq_XMMdq+R128+R128,MASKMOVDQU,SSE2,XMM,XMM,,,0,1,4,0,2,0,0,0,2,1,0,0,0,10,10,0
135,MAXPD_XMMpd_MEMpd+R128+M128,MAXPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
136,MAXPD_XMMpd_XMMpd+R128+R128,MAXPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
137,MAXPS_XMMps_MEMps+R128+M128,MAXPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
138,MAXPS_XMMps_XMMps+R128+R128,MAXPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
139,MAXSD_XMMsd_MEMsd+R64+M64,MAXSD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
140,MAXSD_XMMsd_XMMsd+R64+R64,MAXSD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,399575808
141,MAXSS_XMMss_MEMss+R32+M32,MAXSS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
142,MAXSS_XMMss_XMMss+R32+R32,MAXSS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
143,MINPD_XMMpd_MEMpd+R128+M128,MINPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
144,MINPD_XMMpd_XMMpd+R128+R128,MINPD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
145,MINPS_XMMps_MEMps+R128+M128,MINPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
146,MINPS_XMMps_XMMps+R128+R128,MINPS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
147,MINSD_XMMsd_MEMsd+R64+M64,MINSD,SSE2,XMM,M64,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
148,MINSD_XMMsd_XMMsd+R64+R64,MINSD,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,257208696
149,MINSS_XMMss_MEMss+R32+M32,MINSS,SSE,XMM,M32,,,0,0,1,0,0,0,0,0,0,0,0,1,0,4,11,0
150,MINSS_XMMss_XMMss+R32+R32,MINSS,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0
151,MOVAPD_MEMpd_XMMpd+M128+R128,MOVAPD,SSE2,M128,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,0
152,MOVAPD_XMMpd_MEMpd+R128+M128,MOVAPD,SSE2,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,475749354
153,MOVAPD_XMMpd_XMMpd_0F28+R128+R128,MOVAPD_0F29,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11722303868
154,MOVAPD_XMMpd_XMMpd_0F29+R128+R128,MOVAPD_0F28,SSE2,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,MOVAPS_MEMps_XMMps+M128+R128,MOVAPS,SSE,M128,XMM,,,0,0,0,1,1,0,0,0,0,0,0,0,0,4,10,229685695
156,MOVAPS_XMMps_MEMps+R128+M128,MOVAPS,SSE,XMM,M128,,,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,60753
157,MOVAPS_XMMps_XMMps_0F28+R128+R128,MOVAPS_0F29,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
158,MOVAPS_XMMps_XMMps_0F29+R128+R128,MOVAPS_0F28,SSE,XMM,XMM,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
