n,inst ,lock,set_rex,segment,mem_xchg,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
173,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
174,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
175,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
176,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
177,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
178,BT,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
179,BTC,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,11
180,BTC,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,18
181,BTC,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
182,BTC,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,17
183,BTC,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
184,BTC,0,0,0,0,2,3,2,0,1,1,0,1,0,0,0,0,0,3,16
185,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
186,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
187,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
188,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
189,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
190,BTC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
191,BTC_LOCK,1,0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,15,30
192,BTC_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,34
193,BTC_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,27
194,BTC_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,33
195,BTC_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,29
196,BTC_LOCK,1,0,0,0,4,5,2,0,1,1,0,1,0,0,0,0,0,15,32
197,BTR,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,11
198,BTR,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,18
199,BTR,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
200,BTR,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,17
201,BTR,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
202,BTR,0,0,0,0,2,3,2,0,1,1,0,1,0,0,0,0,0,3,16
203,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
204,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
205,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
206,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
207,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
208,BTR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
209,BTR_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,30
210,BTR_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,34
211,BTR_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,29
212,BTR_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,33
213,BTR_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,29
214,BTR_LOCK,1,0,0,0,4,5,2,0,1,1,0,1,0,0,0,0,0,15,32
215,BTS,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,11
216,BTS,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,18
217,BTS,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
218,BTS,0,0,0,0,3,3,2,0,1,1,0,1,0,0,0,0,0,3,17
219,BTS,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,3,10
220,BTS,0,0,0,0,2,3,2,0,1,1,0,1,0,0,0,0,0,3,16
221,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
222,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
223,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
224,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
225,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
226,BTS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
227,BTS_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,30
228,BTS_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,34
229,BTS_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,29
230,BTS_LOCK,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,33
231,BTS_LOCK,1,0,0,0,3,3,2,0,1,0,0,0,0,0,0,0,0,15,33
232,BTS_LOCK,1,0,0,0,4,5,2,0,1,1,0,1,0,0,0,0,0,15,32
233,CBW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
234,CDQ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
235,CMC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
236,CMOVB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
237,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
238,CMOVB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
239,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
240,CMOVB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
241,CMOVB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
242,CMOVBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
243,CMOVBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
244,CMOVBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
245,CMOVBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
246,CMOVBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
247,CMOVBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
248,CMOVL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
249,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
250,CMOVL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
251,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
252,CMOVL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
253,CMOVL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
254,CMOVLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
255,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
256,CMOVLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
257,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
258,CMOVLE,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
259,CMOVLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
260,CMOVNB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
261,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
262,CMOVNB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
263,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
264,CMOVNB,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
265,CMOVNB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
266,CMOVNBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
267,CMOVNBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
268,CMOVNBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
269,CMOVNBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
270,CMOVNBE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6
271,CMOVNBE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2
272,CMOVNL,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6
273,CMOVNL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
