n,inst ,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,min_lat,max_lat
147,VDPPS,0,0,0,0,0,0,0,0,1,0,0,3,0,13,13
148,VDPPS,0,1,1,0,0,0,0,0,1,0,0,3,0,13,21
149,VDPPS,0,0,0,0,0,0,0,0,1,0,0,3,0,13,13
150,VEXTRACTF128,0,0,1,0,1,0,0,0,0,0,0,0,0,4,10
151,VEXTRACTF128,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
152,VEXTRACTPS,0,0,0,1,1,0,0,0,1,0,0,0,0,5,10
153,VEXTRACTPS,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4
154,VHADDPD,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13
155,VHADDPD,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
156,VHADDPD,0,0,1,0,0,0,0,0,2,0,0,1,0,6,14
157,VHADDPD,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
158,VHADDPS,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13
159,VHADDPS,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
160,VHADDPS,0,0,1,0,0,0,0,0,2,0,0,1,0,6,14
161,VHADDPS,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
162,VHSUBPD,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13
163,VHSUBPD,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
164,VHSUBPD,0,0,1,0,0,0,0,0,2,0,0,1,0,6,14
165,VHSUBPD,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
166,VHSUBPS,0,0,1,0,0,0,0,0,2,0,0,1,0,6,13
167,VHSUBPS,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
168,VHSUBPS,0,0,1,0,0,0,0,0,2,0,0,1,0,6,14
169,VHSUBPS,0,0,0,0,0,0,0,0,2,0,0,1,0,6,6
170,VINSERTF128,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9
171,VINSERTF128,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
172,VINSERTPS,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8
173,VINSERTPS,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
174,VLDDQU,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7
175,VLDDQU,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8
176,VMASKMOVDQU,0,1,4,0,2,0,0,0,2,1,0,0,0,9,9
177,VMASKMOVPD,0,0,1,0,1,0,0,0,0,1,0,0,0,11,14
