Idx,Code,Instruction,OP0,OP1,OP2,LOCK,SET -REX,SEGMENT,MEM_XCHG,p0156,p06,p23,p237,p4,p1,p15,p015,p5,p0,p05,p01,p6,Min. Latency,Max. Latency,Count
158,BSF_GPRv_MEMv+R64+M64,BSF,R64,M64,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
159,BSR_GPRv_GPRv+R16+R16,BSR,R16,R16,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0
160,BSR_GPRv_GPRv+R32+R32,BSR,R32,R32,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,457
161,BSR_GPRv_GPRv+R64+R64,BSR,R64,R64,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,123497
162,BSR_GPRv_MEMv+R16+M16,BSR,R16,M16,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
163,BSR_GPRv_MEMv+R32+M32,BSR,R32,M32,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,0
164,BSR_GPRv_MEMv+R64+M64,BSR,R64,M64,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,1571715
165,BSWAP_GPRv+R32,BSWAP,R32,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,26050078
166,BSWAP_GPRv+R64,BSWAP,R64,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,2
167,BTC_GPRv_GPRv+R16+R16,BTC,R16,R16,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
168,BTC_GPRv_GPRv+R32+R32,BTC,R32,R32,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
169,BTC_GPRv_GPRv+R64+R64,BTC,R64,R64,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
170,BTC_GPRv_IMMb+R16+I8,BTC,R16,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
171,BTC_GPRv_IMMb+R32+I8,BTC,R32,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
172,BTC_GPRv_IMMb+R64+I8,BTC,R64,I8,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
173,BTC_LOCK_MEMv_GPRv+M16+R16,BTC_LOCK,M16,R16,,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,34,0
174,BTC_LOCK_MEMv_GPRv+M32+R32,BTC_LOCK,M32,R32,,1,0,0,0,6,5,2,0,1,1,0,0,0,0,0,0,0,15,33,0
175,BTC_LOCK_MEMv_GPRv+M64+R64,BTC_LOCK,M64,R64,,1,0,0,0,4,5,2,0,1,1,0,1,0,0,0,0,0,15,32,0
