"","n","inst","lock","segment","p0156","p06","p23","p237","p4","p1","p15","p0","p05","min_lat","max_lat","count","pred_min","pred_max","pearson_min","pearson_max","raw_min","raw_max"
"643",642,"PUSH_W","0",0,0,0,0,"1","1","1","0","0",0,12,12,0,5.05837623161287,8.23430309759269,1.09196703289498,0.574674977179631,6.94162376838713,3.76569690240731
"644",643,"PUSH","0",0,0,0,0,"1","1","1","0","0",0,11,11,0,5.05837623161287,8.23430309759269,1.02014150983427,0.422067108816073,5.94162376838713,2.76569690240731
"645",644,"PUSH_W","0",0,0,0,0,"1","1","0","0","0",0,12,12,1667951539,3.21554247183913,6.19594261740724,2.06827125425924,1.10548732882265,8.78445752816087,5.80405738259276
"646",645,"PUSH","0",0,0,0,0,"1","1","0","0","0",0,11,11,1667951539,3.21554247183913,6.19594261740724,1.9119412779475,0.915019306894026,7.78445752816087,4.80405738259276
"647",646,"PUSH_W","0",0,0,0,0,"1","1","0","0","0",0,12,12,0,3.21554247183913,6.19594261740724,2.06827125425924,1.10548732882265,8.78445752816087,5.80405738259276
"648",647,"PUSH","0",0,0,0,0,"1","1","0","0","0",0,11,11,5618477,3.21554247183913,6.19594261740724,1.9119412779475,0.915019306894026,7.78445752816087,4.80405738259276
"649",648,"PUSH","0",0,0,0,1,"1","1","0","0","0",0,12,12,0,2.66962573531657,9.97848632039469,3.9574375472675,0.265132895213354,9.33037426468343,2.02151367960531
"650",649,"PUSH","0",0,0,0,1,"1","1","0","0","0",0,11,11,3182780602,2.66962573531657,9.97848632039469,3.65907549184846,0.133977267681257,8.33037426468343,1.02151367960531
"666",665,"RCL","0",0,1,6,2,"0","1","1","1","0",0,5,17,0,16.3953021723244,31.5269779175244,-0.0540821779116613,-0.751287724148142,-11.3953021723244,-14.5269779175244
"667",666,"RCL","0",0,1,6,2,"0","1","1","1","0",0,6,17,0,16.3953021723244,31.5269779175244,0.0313811728776406,-0.751287724148142,-10.3953021723244,-14.5269779175244
"669",668,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,17,0,14.521162058793,24.3526449384011,-0.146727287385705,-0.469942273384005,-7.52116205879301,-7.35264493840112
"670",669,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,16,0,14.521162058793,24.3526449384011,-0.0684767484627757,-0.533856997584763,-7.52116205879301,-8.35264493840112
"671",670,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,16,0,14.521162058793,24.3526449384011,-0.0684767484627757,-0.533856997584763,-7.52116205879301,-8.35264493840112
"672",671,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,17,0,14.521162058793,24.3526449384011,-0.146727287385705,-0.469942273384005,-7.52116205879301,-7.35264493840112
"673",672,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,16,0,14.521162058793,24.3526449384011,-0.0684767484627757,-0.533856997584763,-7.52116205879301,-8.35264493840112
"674",673,"RCL","0",0,2,4,2,"0","1","1","0","0",0,7,16,0,14.521162058793,24.3526449384011,-0.0684767484627757,-0.533856997584763,-7.52116205879301,-8.35264493840112
